,ctype,intensity,Accuracy,F1Score,AUROC,Specificity,Recall,Precision
0,zoom_blur,1,0.0,0.0,0.012965292669832706,0.9898989796638489,0.0,0.0
1,zoom_blur,2,0.0,0.0,0.013092856854200363,0.9898989796638489,0.0,0.0
2,contrast,1,0.0,0.0,0.01145540177822113,0.9898989796638489,0.0,0.0
3,contrast,2,0.0,0.0,0.011908149346709251,0.9898989796638489,0.0,0.0
