,ctype,intensity,Accuracy,F1Score,AUROC,Specificity,Recall,Precision
0,zoom_blur,1,0.0,0.0,0.014266849495470524,0.9898989796638489,0.0,0.0
1,zoom_blur,2,0.0,0.0,0.013933745212852955,0.9898989796638489,0.0,0.0
2,contrast,1,0.0,0.0,0.013613141141831875,0.9898989796638489,0.0,0.0
3,contrast,2,0.0,0.0,0.01297152042388916,0.9898989796638489,0.0,0.0
